# lon lat depth_km normal_Pa shear_Pa coulomb_Pa
# strike 15.000000, dip 45.000000, rake 0.000000
13.057350 41.599099 1.000000 0.174772 0.242790 0.312699
13.066359 41.599099 1.000000 0.174153 0.241789 0.311450
13.075368 41.599099 1.000000 0.173548 0.240661 0.310080
13.084377 41.599099 1.000000 0.172957 0.239407 0.308590
13.093386 41.599099 1.000000 0.172384 0.238033 0.306986
13.102395 41.599099 1.000000 0.171828 0.236540 0.305271
13.111404 41.599099 1.000000 0.171290 0.234932 0.303448
13.120413 41.599099 1.000000 0.170773 0.233214 0.301523
13.129422 41.599099 1.000000 0.170276 0.231388 0.299498
13.138431 41.599099 1.000000 0.169800 0.229459 0.297379
13.147440 41.599099 1.000000 0.169347 0.227431 0.295170
13.156449 41.599099 1.000000 0.168917 0.225308 0.292875
13.165458 41.599099 1.000000 0.168511 0.223094 0.290498
13.174467 41.599099 1.000000 0.168129 0.220793 0.288045
13.183476 41.599099 1.000000 0.167771 0.218411 0.285519
13.192485 41.599099 1.000000 0.167439 0.215950 0.282926
13.201494 41.599099 1.000000 0.167132 0.213417 0.280269
13.210503 41.599099 1.000000 0.166851 0.210814 0.277555
13.219512 41.599099 1.000000 0.166595 0.208148 0.274786
13.228521 41.599099 1.000000 0.166365 0.205422 0.271968
13.237530 41.599099 1.000000 0.166161 0.202642 0.269106
13.246539 41.599099 1.000000 0.165982 0.199812 0.266205
13.255548 41.599099 1.000000 0.165829 0.196936 0.263268
13.264557 41.599099 1.000000 0.165700 0.194020 0.260300
13.273566 41.599099 1.000000 0.165596 0.191068 0.257306
13.282575 41.599099 1.000000 0.165516 0.188085 0.254291
13.291584 41.599099 1.000000 0.165460 0.185075 0.251259
13.300593 41.599099 1.000000 0.165426 0.182043 0.248214
13.309602 41.599099 1.000000 0.165415 0.178994 0.245160
13.318611 41.599099 1.000000 0.165425 0.175932 0.242102
13.327620 41.599099 1.000000 0.165456 0.172861 0.239043
13.336629 41.599099 1.000000 0.165506 0.169786 0.235988
13.345638 41.599099 1.000000 0.165575 0.166711 0.232941
13.354647 41.599099 1.000000 0.165662 0.163641 0.229906
13.363656 41.599099 1.000000 0.165766 0.160579 0.226885
13.372665 41.599099 1.000000 0.165885 0.157530 0.223884
13.381674 41.599099 1.000000 0.166018 0.154497 0.220904
13.390683 41.599099 1.000000 0.166164 0.151485 0.217950
13.399692 41.599099 1.000000 0.166322 0.148496 0.215025
13.408701 41.599099 1.000000 0.166491 0.145535 0.212132
13.417710 41.599099 1.000000 0.166669 0.142605 0.209273
13.426719 41.599099 1.000000 0.166854 0.139710 0.206451
13.435728 41.599099 1.000000 0.167046 0.136852 0.203670
13.444737 41.599099 1.000000 0.167243 0.134035 0.200932
13.453746 41.599099 1.000000 0.167443 0.131261 0.198238
13.462755 41.599099 1.000000 0.167646 0.128534 0.195592
13.471764 41.599099 1.000000 0.167849 0.125856 0.192995
13.480773 41.599099 1.000000 0.168050 0.123229 0.190449
13.489782 41.599099 1.000000 0.168250 0.120657 0.187957
13.498791 41.599099 1.000000 0.168445 0.118140 0.185518
13.507800 41.599099 1.000000 0.168636 0.115682 0.183136
13.516809 41.599099 1.000000 0.168819 0.113284 0.180812
13.525818 41.599099 1.000000 0.168994 0.110948 0.178546
13.534827 41.599099 1.000000 0.169159 0.108676 0.176340
13.543836 41.599099 1.000000 0.169313 0.106469 0.174194
13.552845 41.599099 1.000000 0.169454 0.104328 0.172110
13.561854 41.599099 1.000000 0.169581 0.102255 0.170088
13.570863 41.599099 1.000000 0.169693 0.100251 0.168128
13.579872 41.599099 1.000000 0.169788 0.098316 0.166231
13.588881 41.599099 1.000000 0.169865 0.096452 0.164398
13.597890 41.599099 1.000000 0.169923 0.094659 0.162628
13.606899 41.599099 1.000000 0.169960 0.092937 0.160921
13.615908 41.599099 1.000000 0.169975 0.091287 0.159278
13.624917 41.599099 1.000000 0.169968 0.089710 0.157697
13.633926 41.599099 1.000000 0.169936 0.088205 0.156179
13.642935 41.599099 1.000000 0.169880 0.086772 0.154724
13.651944 41.599099 1.000000 0.169797 0.085411 0.153330
13.660953 41.599099 1.000000 0.169687 0.084123 0.151998
13.669962 41.599099 1.000000 0.169550 0.082906 0.150726
13.678971 41.599099 1.000000 0.169383 0.081760 0.149513
13.687980 41.599099 1.000000 0.169187 0.080685 0.148360
13.696989 41.599099 1.000000 0.168960 0.079680 0.147264
13.705998 41.599099 1.000000 0.168702 0.078744 0.146225
13.715007 41.599099 1.000000 0.168412 0.077877 0.145242
13.724016 41.599099 1.000000 0.168090 0.077077 0.144313
13.733025 41.599099 1.000000 0.167735 0.076344 0.143438
13.742035 41.599099 1.000000 0.167346 0.075676 0.142614
13.751044 41.599099 1.000000 0.166923 0.075073 0.141842
13.760053 41.599099 1.000000 0.166466 0.074533 0.141119
13.769062 41.599099 1.000000 0.165974 0.074054 0.140444
13.778071 41.599099 1.000000 0.165447 0.073636 0.139815
13.787080 41.599099 1.000000 0.164886 0.073278 0.139232
13.796089 41.599099 1.000000 0.164288 0.072977 0.138692
13.805098 41.599099 1.000000 0.163655 0.072733 0.138195
13.814107 41.599099 1.000000 0.162987 0.072543 0.137738
13.823116 41.599099 1.000000 0.162283 0.072406 0.137319
13.832125 41.599099 1.000000 0.161543 0.072321 0.136939
13.841134 41.599099 1.000000 0.160768 0.072286 0.136594
13.850143 41.599099 1.000000 0.159958 0.072300 0.136283
13.859152 41.599099 1.000000 0.159112 0.072360 0.136005
13.868161 41.599099 1.000000 0.158232 0.072465 0.135758
13.877170 41.599099 1.000000 0.157316 0.072614 0.135540
13.886179 41.599099 1.000000 0.156366 0.072804 0.135350
13.895188 41.599099 1.000000 0.155382 0.073034 0.135187
13.904197 41.599099 1.000000 0.154364 0.073302 0.135048
13.913206 41.599099 1.000000 0.153313 0.073607 0.134933
13.922215 41.599099 1.000000 0.152229 0.073947 0.134839
13.931224 41.599099 1.000000 0.151113 0.074320 0.134765
13.940233 41.599099 1.000000 0.149965 0.074724 0.134710
13.949242 41.599099 1.000000 0.148785 0.075158 0.134672
13.958251 41.599099 1.000000 0.147575 0.075620 0.134650
13.967260 41.599099 1.000000 0.146335 0.076108 0.134642
13.976269 41.599099 1.000000 0.145065 0.076621 0.134647
13.985278 41.599099 1.000000 0.143766 0.077157 0.134663
13.994287 41.599099 1.000000 0.142439 0.077715 0.134690
14.003296 41.599099 1.000000 0.141085 0.078292 0.134726
14.012305 41.599099 1.000000 0.139704 0.078888 0.134769
14.021314 41.599099 1.000000 0.138297 0.079501 0.134819
14.030323 41.599099 1.000000 0.136864 0.080129 0.134874
14.039332 41.599099 1.000000 0.135408 0.080771 0.134934
14.048341 41.599099 1.000000 0.133927 0.081425 0.134996
14.057350 41.599099 1.000000 0.132424 0.082090 0.135060
14.066359 41.599099 1.000000 0.130899 0.082765 0.135125
14.075368 41.599099 1.000000 0.129352 0.083448 0.135189
14.084377 41.599099 1.000000 0.127786 0.084139 0.135253
14.093386 41.599099 1.000000 0.126199 0.084834 0.135314
14.102395 41.599099 1.000000 0.124594 0.085535 0.135373
14.111404 41.599099 1.000000 0.122972 0.086238 0.135427
14.120413 41.599099 1.000000 0.121332 0.086944 0.135477
14.129422 41.599099 1.000000 0.119676 0.087651 0.135521
14.138431 41.599099 1.000000 0.118005 0.088357 0.135559
14.147440 41.599099 1.000000 0.116319 0.089062 0.135590
14.156449 41.599099 1.000000 0.114620 0.089765 0.135614
14.165458 41.599099 1.000000 0.112908 0.090465 0.135629
14.174467 41.599099 1.000000 0.111185 0.091161 0.135635
14.183476 41.599099 1.000000 0.109450 0.091852 0.135632
14.192485 41.599099 1.000000 0.107705 0.092536 0.135618
14.201494 41.599099 1.000000 0.105951 0.093214 0.135595
14.210503 41.599099 1.000000 0.104189 0.093885 0.135560
14.219512 41.599099 1.000000 0.102419 0.094547 0.135514
11.778071 41.608108 1.000000 0.001170 -0.254954 -0.254486
11.787080 41.608108 1.000000 0.003128 -0.254027 -0.252776
11.796089 41.608108 1.000000 0.005110 -0.253039 -0.250995
11.805098 41.608108 1.000000 0.007116 -0.251988 -0.249142
11.814107 41.608108 1.000000 0.009146 -0.250875 -0.247216
11.823116 41.608108 1.000000 0.011198 -0.249697 -0.245217
11.832125 41.608108 1.000000 0.013273 -0.248453 -0.243144
11.841134 41.608108 1.000000 0.015371 -0.247144 -0.240995
11.850143 41.608108 1.000000 0.017491 -0.245767 -0.238771
11.859152 41.608108 1.000000 0.019632 -0.244322 -0.236469
11.868161 41.608108 1.000000 0.021796 -0.242808 -0.234090
11.877170 41.608108 1.000000 0.023980 -0.241225 -0.231633
11.886179 41.608108 1.000000 0.026184 -0.239570 -0.229096
11.895188 41.608108 1.000000 0.028409 -0.237843 -0.226480
11.904197 41.608108 1.000000 0.030654 -0.236044 -0.223783
11.913206 41.608108 1.000000 0.032917 -0.234172 -0.221005
11.922215 41.608108 1.000000 0.035200 -0.232225 -0.218145
11.931224 41.608108 1.000000 0.037500 -0.230203 -0.215203
11.940233 41.608108 1.000000 0.039818 -0.228105 -0.212178
11.949242 41.608108 1.000000 0.042153 -0.225931 -0.209070
11.958251 41.608108 1.000000 0.044504 -0.223679 -0.205878
11.967260 41.608108 1.000000 0.046871 -0.221350 -0.202602
11.976269 41.608108 1.000000 0.049252 -0.218942 -0.199241
11.985278 41.608108 1.000000 0.051648 -0.216455 -0.195795
11.994287 41.608108 1.000000 0.054058 -0.213888 -0.192265
12.003296 41.608108 1.000000 0.056480 -0.211241 -0.188649
12.012305 41.608108 1.000000 0.058915 -0.208513 -0.184947
12.021314 41.608108 1.000000 0.061360 -0.205704 -0.181160
12.030323 41.608108 1.000000 0.063816 -0.202813 -0.177286
12.039332 41.608108 1.000000 0.066282 -0.199840 -0.173328
12.048341 41.608108 1.000000 0.068756 -0.196786 -0.169283
12.057350 41.608108 1.000000 0.071238 -0.193648 -0.165153
12.066359 41.608108 1.000000 0.073726 -0.190428 -0.160938
12.075368 41.608108 1.000000 0.076221 -0.187126 -0.156637
12.084377 41.608108 1.000000 0.078721 -0.183740 -0.152252
12.093386 41.608108 1.000000 0.081224 -0.180272 -0.147782
12.102395 41.608108 1.000000 0.083730 -0.176720 -0.143228
12.111404 41.608108 1.000000 0.086238 -0.173086 -0.138591
12.120413 41.608108 1.000000 0.088747 -0.169370 -0.133871
12.129422 41.608108 1.000000 0.091255 -0.165571 -0.129069
12.138431 41.608108 1.000000 0.093762 -0.161690 -0.124185
12.147440 41.608108 1.000000 0.096267 -0.157727 -0.119221
12.156449 41.608108 1.000000 0.098767 -0.153684 -0.114177
12.165458 41.608108 1.000000 0.101263 -0.149559 -0.109054
12.174467 41.608108 1.000000 0.103752 -0.145355 -0.103854
12.183476 41.608108 1.000000 0.106234 -0.141071 -0.098577
12.192485 41.608108 1.000000 0.108708 -0.136709 -0.093226
12.201494 41.608108 1.000000 0.111172 -0.132269 -0.087800
12.210503 41.608108 1.000000 0.113624 -0.127752 -0.082303
12.219512 41.608108 1.000000 0.116064 -0.123160 -0.076734
12.228521 41.608108 1.000000 0.118491 -0.118493 -0.071096
12.237530 41.608108 1.000000 0.120902 -0.113752 -0.065391
12.246539 41.608108 1.000000 0.123298 -0.108939 -0.059620
12.255548 41.608108 1.000000 0.125675 -0.104056 -0.053786
12.264557 41.608108 1.000000 0.128034 -0.099103 -0.047890
12.273566 41.608108 1.000000 0.130373 -0.094083 -0.041934
12.282575 41.608108 1.000000 0.132690 -0.088997 -0.035921
12.291584 41.608108 1.000000 0.134984 -0.083846 -0.029853
12.300593 41.608108 1.000000 0.137254 -0.078633 -0.023732
12.309602 41.608108 1.000000 0.139498 -0.073360 -0.017561
